		
SYSTEM DATE/TIME		
-------------------------		
Date	11/10/2011	Date.
GSM Hardware:	Gobi 3000 module	Type of GSM hardware
GSM State:	On	GSM hardware power state
		
Power Tools And Demos		
-------------------------		
Power Tools Version	5.16	Power Tools Cab Version
Demos Version	5.16	Demos Cab Version
		
\Program Files\Power Tools		
-------------------------		
Reboot.exe	5.10.01.2	
HotKeys.exe	5.16.30001	
EZConfig Editor PPC.exe	1.00.07.7	
RegEdit.exe	5.10.01	
BootstrapAgent.exe	Not Available	
EZMenu.exe	5.16.03	
NoSIP.exe	5.10.01	
IPConfig.exe	5.10.01.1	
ImageProfiler.exe	3.21.30001	
BattMon.exe	5.16.30001	
KeyboardStatus.exe	5.16.30001	
IrDAPrintCE.exe	5.10.01	
BatteryAnalyzer.exe	5.10.01	
Ping.exe	5.10.01.1	
WiFiStatus.exe	5.16.30001	
Route.exe	5.10.01.1	
XMLMerger.exe	5.10.01.1	
ScanWedge.exe	5.16.30001	
SysInfo.exe	5.16.30001	
BTPrint.exe	5.10.01	
Suspend.exe	5.10.01	
		
\Honeywell\		
-------------------------		
Autorun.exe	5.10.01	
AutoInstall.exe	5.10.01	
EZConfigPPC.exe	1.00.04.1	
DeviceConfig.exe	5.10.01.8	
PowerToolsMenu.exm	1	
CameraDemo.exm	0	
scanwedge.exm	3	
IQImageDemo.exe.config.exm	0	
DemoRfSettings.exm	0	
ImagingProfiles.exm	0	
PrintDemoMenu.exm	1	
DemosMenu.exm	1	
DeviceConfig.exm	6	
NetworkMenu.exm	1	
BatteryAnalyzer.exm	3	
CAConfig.exm	0	
SignatureCapture.exm	0	
EZConfigMenu.exm	1	
HTML5Browser.exm	0	
ScanDemo.exe.config.exm	0	
Autorun.exm	23	
RegBackup.exm	0	
AutoInstall.exm	3	
ImageDemo.exe.config.exm	0	
		
\IPSM\Honeywell\AutoInstall\*.*		
-------------------------		
File(1): 	SP_PowerTools_516.3.wm.armv4i.CAB	
File(2): 	PowerTools_516.wm.armv4i.CAB	
File(3): 	Gobi_99EX_24.CAB	
File(4): 	SDKNC_321.wm.armv4i.CAB	
File(5): 	BT_D99EX_7.CAB	
File(6): 	WLAN_D99EX_22.CAB	
File(7): 	GobiSDK_2905_114.CAB	
File(8): 	DefaultSettings.reg	
File(9): 	Ds172_35.wm.armv4i.CAB	
File(10): 	GobiFirmware3K_4.CAB	
File(11): 	Demos_516.wm.armv4i.CAB	
File(12): 	REM_BootStrap_10.00.1.762.cab	
File(13): 	CameraDemo_516.wm.armv4i.CAB	
		
POWER STATUS		
-------------------------		
ACLineStatus	AC online	AC power status.
BatteryFlag	Charging	Battery charge status.
BatteryLifePercent	100 %	Percentage of full battery charge remaining.
BackupBatteryFlag	High	Backup battery charge status.
BackupBatteryLifePercent	100 %	Percentage of full backup battery charge remaining.
		
STORE INFO		
-------------------------		
StoreSize	758022144	Specifies the size in bytes of the object store.
FreeSize	662272000	Specifies the amount of free space in bytes in the object store.
		
SYSTEM VERSION		
-------------------------		
MajorVersion	5	
MinorVersion	2	
BuildNumber	29299	
PlatformId	3	
CSDVersion		Indicates the latest Service Pack installed on the system.
		
GLOBAL MEMORY STATUS		
-------------------------		
MemoryLoad	50	Specifies a number between 0 and 100 that gives a general idea of current memory utilization in which 0 indicates no memory use and 100 indicates full memory use.
TotalPhysical	241172480	Indicates the total number of bytes of physical memory.
TotalPageFile	0	Indicates the number of bytes of physical memory available.
AvailPageFile	0	Indicates the total number of bytes that can be stored in the paging file.
TotalVirtual	33554432	Indicates the total number of bytes that can be described in the user mode portion of the virtual address space of the calling process.
AvailVirtual	27983872	Indicates the number of bytes of unreserved and uncommitted memory in the user mode portion of the virtual address space of the calling process.
		
IMAGER INFO		
-------------------------		
PSOC Version	6.11	Current PSOC revision.
AimerXoffset	425	Indicates the imagers AimerXoffset
AimerYoffset	314	Indicates the imagers AimerYoffset
BitsPerPixel	8	Indicates the imagers BitsPerPixel
EngineID	12	Indicates the imagers EngineID
ImagerCols	832	Indicates the imagers ImagerCols
ImagerRows	640	Indicates the imagers ImagerRows
Rotation	0	Indicates the imagers Rotation
YDepth	0	Indicates the imagers YDepth
